ID,TARGET
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,9
2024-05-31_B0BRCYV77T,6
2024-05-31_B0BRCYV77T,2
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,2
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,2
2024-05-31_B0BRCYV77T,2
2024-05-31_B0BRCYV77T,2
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,6
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,7
2024-05-31_B0BRCYV77T,6
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,3
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,7
2024-05-31_B0BRCYV77T,6
2024-05-31_B0BRCYV77T,6
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,4
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,5
2024-05-31_B0BRCYV77T,4
